iter	Passed	Remaining
583	2350	1674
584	2354	1670
585	2358	1666
586	2362	1661
587	2367	1658
588	2423	1691
589	2437	1694
590	2441	1689
591	2448	1687
592	2463	1690
593	2467	1686
594	2471	1681
595	2476	1678
596	2479	1673
597	2483	1669
598	2486	1664
599	2491	1661
600	2495	1656
601	2498	1651
602	2501	1647
603	2507	1644
604	2510	1639
605	2513	1634
606	2517	1629
607	2521	1625
608	2524	1620
609	2528	1616
610	2531	1611
611	2536	1608
612	2540	1604
613	2544	1599
614	2548	1595
615	2554	1592
616	2557	1587
617	2561	1583
618	2564	1578
619	2570	1575
620	2573	1570
621	2576	1565
622	2580	1561
623	2585	1557
624	2588	1553
625	2591	1548
626	2595	1543
627	2600	1540
628	2603	1535
629	2606	1530
630	2610	1526
631	2615	1522
632	2618	1518
633	2621	1513
634	2625	1508
635	2629	1505
636	2633	1500
637	2637	1496
638	2640	1491
639	2645	1488
640	2648	1483
641	2652	1479
642	2655	1474
643	2660	1470
644	2664	1466
645	2667	1461
646	2671	1457
647	2676	1453
648	2679	1449
649	2682	1444
650	2686	1440
651	2691	1436
652	2694	1432
653	2698	1427
654	2701	1422
655	2705	1418
656	2708	1414
657	2712	1409
658	2715	1405
659	2720	1401
660	2724	1397
661	2728	1392
662	2731	1388
663	2736	1384
664	2741	1380
665	2744	1376
666	2748	1372
667	2753	1368
668	2756	1363
669	2759	1359
670	2762	1354
671	2768	1351
672	2771	1346
673	2774	1342
674	2778	1337
675	2782	1333
676	2786	1329
677	2790	1325
678	2793	1320
679	2797	1316
680	2800	1311
681	2803	1307
682	2806	1302
683	2810	1298
684	2815	1294
685	2818	1290
686	2822	1285
687	2825	1281
688	2830	1277
689	2834	1273
690	2837	1268
691	2841	1264
692	2846	1260
693	2849	1256
694	2852	1251
695	2856	1247
696	2860	1243
697	2864	1239
698	2867	1234
699	2870	1230
700	2875	1226
701	2879	1222
702	2882	1217
703	2886	1213
704	2889	1209
705	2892	1204
706	2896	1200
707	2899	1195
708	2902	1191
709	2908	1187
710	2911	1183
711	2914	1178
712	2918	1174
713	2923	1171
714	2927	1166
715	2930	1162
716	2934	1158
717	2940	1154
718	2943	1150
719	2947	1146
720	2950	1141
721	2955	1138
722	2958	1133
723	2962	1129
724	2966	1125
725	2970	1121
726	2974	1116
727	2977	1112
728	2981	1108
729	2985	1104
730	2988	1099
731	2992	1095
732	2995	1091
733	3000	1087
734	3003	1083
735	3007	1078
736	3010	1074
737	3015	1070
738	3018	1066
739	3022	1061
740	3025	1057
741	3031	1054
742	3034	1049
743	3037	1045
744	3041	1040
745	3046	1037
746	3049	1032
747	3053	1028
748	3056	1024
749	3062	1020
750	3065	1016
751	3068	1012
752	3072	1007
753	3076	1003
754	3079	999
755	3082	995
756	3086	990
757	3090	986
758	3095	982
759	3098	978
760	3101	974
761	3105	969
762	3112	966
763	3115	962
764	3119	958
765	3124	954
766	3127	950
767	3131	946
768	3135	941
769	3141	938
770	3144	934
771	3148	929
772	3153	926
773	3157	922
774	3161	917
775	3164	913
